id_no,unique_number,name_en,name_fr,name_es,category,category_short,criteria_codes,criteria_count,country_en,country_fr,country_es,countries_en,countries_fr,countries_es,country_count,iso_code,udnp_code,region_en,transboundary,latitude,longitude,area_hectares,date_inscribed,site_age_years,in_danger,ever_in_danger,danger_since,danger_status,short_description,justification,unesco_url
208,230,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,Paisaje cultural y vestigios arqueológicos del Valle de Bamiyán,Cultural,C,C1;C2;C3;C4;C6,5,Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,Afganistán,1,af,afg,Asia and the Pacific,False,34.84694,67.82525,158.9265,2003,23,True,True,2003,Y 2003,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.","Criterion (i): The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region. Criterion (ii) : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period. Criterion (iii): The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared. Criterion (iv): The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism. Criterion (vi): The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.",https://whc.unesco.org/en/list/208/
211,234,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,Minarete y vestigios arqueológicos de Jam,Cultural,C,C2;C3;C4,3,Afghanistan,Afghanistan,Afganistán,Afghanistan,Afghanistan,Afganistán,1,af,afg,Asia and the Pacific,False,34.39641667,64.51588889,70.0,2002,24,True,True,2002,Y 2002,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.",Criterion (ii): The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond. Criterion (iii): The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries. Criterion (iv): The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.,https://whc.unesco.org/en/list/211/
1033,1206,Historic Centre of Vienna,Centre historique de Vienne,Centro histórico de Viena,Cultural,C,C2;C4;C6,3,Austria,Autriche,Austria,Austria,Autriche,Austria,1,at,aut,Europe and North America,False,48.2094,16.3699,371.0,2001,25,True,True,2017,Y 2017,"Vienna developed from early Celtic and Roman settlements into a Medieval and Baroque city, the capital of the Austro-Hungarian Empire. It played an essential role as a leading European music centre, from the great age of Viennese Classicism through the early part of the 20th century. The historic centre of Vienna is rich in architectural ensembles, including Baroque castles and gardens, as well as the late-19th-century Ringstrasse lined with grand buildings, monuments and parks.","Criterion (ii): The urban and architectural qualities of the Historic Centre of Vienna bear outstanding witness to a continuing interchange of values throughout the second millennium. Criterion (iv): Three key periods of European cultural and political development – the Middle Ages, the Baroque period, and the Gründerzeit – are exceptionally well illustrated by the urban and architectural heritage of the Historic Centre of Vienna. Criterion (vi): Since the 16th century Vienna has been universally acknowledged to be the musical capital of Europe.",https://whc.unesco.org/en/list/1033/
420,484,City of Potosí,Ville de Potosí,Ciudad de Potosí­,Cultural,C,C2;C4;C6,3,Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),1,bo,bol,Latin America and the Caribbean,False,-19.599112,-65.749813,2211.0,1987,39,True,True,2014,Y 2014,"In the 16th century, this area was regarded as the world’s largest industrial complex. The extraction of silver ore relied on a series of hydraulic mills. The site consists of the industrial monuments of the Cerro Rico, where water is provided by an intricate system of aqueducts and artificial lakes; the colonial town with the Casa de la Moneda; the Church of San Lorenzo; several patrician houses; and the barrios mitayos, the areas where the workers lived.",,https://whc.unesco.org/en/list/420/
475,553,Manovo-Gounda St Floris National Park,Parc national du Manovo-Gounda St Floris,Parque nacional del Manovo-Gounda St.Floris,Natural,N,N9;N10,2,Central African Republic,République centrafricaine,República Centroafricana,Central African Republic,République centrafricaine,República Centroafricana,1,cf,caf,Africa,False,9.0,21.5,1740000.0,1988,38,True,True,1997,Y 1997,"The importance of this park derives from its wealth of flora and fauna. Its vast savannahs are home to a wide variety of species: black rhinoceroses, elephants, cheetahs, leopards, wild dogs, red-fronted gazelles and buffalo, while various types of waterfowl are to be found in the northern floodplains.",,https://whc.unesco.org/en/list/475/
63,67,Virunga National Park,Parc national des Virunga,Parque Nacional de Virunga,Natural,N,N7;N8;N10,3,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,1,cd,cod,Africa,False,0.916666667,29.16666667,800000.0,1979,47,True,True,1994,Y 1994,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.",,https://whc.unesco.org/en/list/63/
136,149,Garamba National Park,Parc national de la Garamba,Parque Nacional de Garamba,Natural,N,N7;N10,2,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,1,cd,cod,Africa,False,4.0,29.25,500000.0,1980,46,True,True,1996,Y 1996 P 1984-1992,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.",,https://whc.unesco.org/en/list/136/
137,150,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,Parque nacional de Kahuzi-Biega,Natural,N,N10,1,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,1,cd,cod,Africa,False,-2.334053,28.180743,600000.0,1980,46,True,True,1997,Y 1997,"A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.",,https://whc.unesco.org/en/list/137/
718,849,Okapi Wildlife Reserve,Réserve de faune à okapis,Reserva de fauna de Okapis,Natural,N,N10,1,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo,1,cd,cod,Africa,False,2.0,28.5,1372625.0,1996,30,True,True,1997,Y 1997,"The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.","The Committee inscribed the property as one of the most important sites for conservation, including the rare Okapi and rich floral diversity, under natural criterion (x) . The Committee expressed its hope that the activities outlined in the new management plan would ensure the integrity of the site. Considering the civil unrest in the country, the question of the long-term security of the site was raised.",https://whc.unesco.org/en/list/718/
196,217,Río Plátano Biosphere Reserve,Réserve de la biosphère Río Plátano,Reserva de biosfera de Río Plátano,Natural,N,N7;N8;N9;N10,4,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,1,hn,hnd,Latin America and the Caribbean,False,15.74444444,-84.675,350000.0,1982,44,True,True,2011,Y 2011 P 1996-2007,"Located on the watershed of the Río Plátano, the reserve is one of the few remains of a tropical rainforest in Central America and has an abundant and varied plant and wildlife. In its mountainous landscape sloping down to the Caribbean coast, over 2,000 indigenous people have preserved their traditional way of life.",,https://whc.unesco.org/en/list/196/
